name,ra,dec
18aapsxwc,19 20 58.71,+45 06 37.6
18aasnlwa,19 22 34.05,+27 32 01.1
18abkhgfg,19 26 33.86,+16 02 20.3
18aayncoh,19 27 57.59,+46 43 32.3
18abdeelv,19 30 59.19,+51 57 35.2
18aauegwi,19 32 03.61,+45 07 59.2
18abptyvl,19 35 57.46,+11 05 28.2
18abdkwtr,19 35 57.54,+33 00 49.4
18abbctvx,19 36 02.88,+46 08 31.2
18abdiirq,19 41 04.86,+31 57 47.7
18aaynycd,19 42 30.55,+36 01 19.3
18aazvbyj,19 43 32.98,+16 31 06.8
18abdkpol,19 43 41.51,+43 59 11.9
18aaptabw,19 47 30.06,+48 09 17.6
18abfhssx,19 48 26.68,+59 33 10.3
18aauebur,19 48 49.10,+46 30 36.1
18ablxhlc,19 48 58.30,+58 26 20.9
18abmfxml,19 50 42.77,+08 25 45.3
18abchfow,19 50 38.85,+21 16 51.8
18aavzkpp,19 50 54.38,+35 51 35.9
18aazfbvg,19 54 46.08,+18 37 57.3
18aaypfws,19 55 37.25,+23 35 57.9
18aayeczt,19 57 12.21,+18 49 41.0
18abvokyy,19 57 15.07,+36 27 03.3
18aawlljc,20 03 34.02,+29 34 36.7
18abmhjpr,20 04 07.64,+12 26 18.4
18abnudvw,20 04 20.95,+11 32 47.2
18acyjvhm,20 06 16.59,+07 38 15.4
18absihoy,20 07 42.61,+11 58 10.4
18abudsie,20 07 44.61,-00 27 50.1
18abaqnny,20 09 22.90,+59 13 48.1
18aayukga,20 10 02.01,+37 06 15.4
18aaxyrau,20 10 53.41,+44 10 46.3
18aawluad,20 12 25.84,+23 36 20.9
18abnuekr,20 13 55.88,-05 26 06.1
18aayeosh,20 26 23.46,+32 01 08.4
18aazffjy,20 28 36.83,+56 13 46.3
18abajlni,20 32 32.12,+58 09 28.8
18abssrbs,20 35 01.48,-00 19 46.4
18aaxprrt,20 36 39.95,+47 02 15.8
18acbwqtc,20 40 44.21,+50 59 40.2
18abikzev,20 41 30.41,+48 13 33.0
18abdhxvl,20 43 59.58,+42 03 25.4
18abxkbzz,20 44 28.70,+14 50 11.3
18abzvpif,20 49 51.90,+46 19 50.2
18abjwsby,20 59 15.71,+43 01 07.2
18aazeyze,21 04 35.46,+15 05 01.4
18abmarba,21 21 08.93,+30 34 14.3
17aaaejau,21 21 28.58,+29 15 41.2
18absanfq,21 23 05.54,+15 08 48.6
18aayoxjs,21 25 43.95,+63 23 18.0
18abihypg,21 28 22.20,+63 25 57.2
18abvigco,21 29 59.49,+78 52 21.5
18abwntpz,21 34 37.09,+57 02 07.3
18abaphmn,21 38 25.68,+27 30 36.0
18abjtach,21 43 32.98,+46 12 22.3
17aadsnyp,21 43 33.57,+51 20 03.7
17aaarine,21 46 48.25,+48 27 47.5
18abnxgmb,21 48 07.80,+29 38 48.0
18abochac,21 51 25.83,+46 28 03.5
18abvxdou,21 52 32.31,+49 04 19.4
17aabutiy,21 58 15.94,+51 50 20.3
18abvbqyo,22 06 41.05,+30 14 35.8
18acarunx,22 14 03.77,+37 34 52.8
18abmnbne,22 17 31.66,+46 59 32.9
18ablvntg,22 27 07.17,+55 38  0.0
18abqboud,22 31 23.00,+33 30 57.1
18abblwnw,22 45 00.98,+56 31 30.6
18actxlqb,22 45 05.38,+01 15 47.2
18abmnmuw,22 47 51.45,+36 43 19.3
18acehgym,22 48 25.98,+38 55 09.6
18abccwds,22 52 31.58,+59 11 35.1
18abmnmvz,22 53 50.55,+33 30 32.4
18abvburn,22 55 21.40,+53 38 43.8
18ablvjse,22 56 32.43,+35 42 38.4
18abcxmen,22 56 57.90,+55 53 41.6
18aaypqid,23 05 38.42,+65 21 58.6
18aazndjw,23 10 11.15,+51 15 11.1
18aazwddf,23 24 04.01,+51 43 18.0
17aabunmx,23 34 35.56,+54 33 25.5
18abvxbfh,23 35 30.00,+60 54 05.7
17aabuvei,23 36 46.10,+57 57 24.1
18abcpbbj,23 37 27.57,+51 13 58.7
18abjmxql,23 38 43.54,+57 17 19.9
18abiwzlg,23 52 01.18,+44 50 58.2
17aaaedem,23 54 58.63,+54 27 29.3
18abgtjea,23 59 33.64,+56 05 01.5
