name,ra,dec
17aaaemzh,00 15 38.27,+26 36 56.5
18abdlywu,00 38 54.83,+61 13 00.2
18abgopgb,01 07 03.88,+42 43 12.0
17aaawpsz,02 13 15.49,+53 38 22.8
18acgplgw,02 50 00.20,+37 39 22.1
18aabeymw,03 20 15.29,+44 10 59.1
18abtmzoi,04 06 59.82,+00 52 43.7
17aaaslud,04 08 34.99,+51 14 48.1
17aaarlrs,04 09 12.17,+48 22 06.2
18abscxct,04 23 32.91,+74 52 50.2
17aaacdos,04 53 16.88,+38 16 28.4
17aacucfy,05 01 24.15,+20 38 17.7
17aaavfwx,05 06 13.12,-04 08 07.7
17aadaxwu,05 47 48.38,+28 35 10.9
18abwsres,05 58 45.48,+39 15 33.0
17aacpcfv,06 12 04.47,+25 28 32.6
17aadnmap,06 15 43.92,+28 35 08.4
17aacklbl,06 16 43.23,+15 24 11.2
18aaahnyx,07 18 03.34,+64 47 44.7
18aagqdbp,07 44 19.75,+32 54 48.2
18aaicnwh,07 50 59.97,+14 11 50.2
17aacbiid,07 51 07.52,+30 06 28.2
17aacplzj,07 56 48.05,+30 58 05.0
17aabyrpg,08 08 46.20,+31 31 05.9
18aacluoi,08 16 10.82,+45 30 10.1
18aaadlpa,08 54 14.01,+39 05 36.7
18aaacmsd,09 43 25.89,+52 01 28.8
17aaapome,10 05 15.37,+19 11 07.9
18abcsatf,10 18 12.99,+71 55 42.9
17aacldol,10 19 47.24,+33 57 53.3
18aaadhmx,10 43 56.60,+58 07 31.4
17aaajlbs,10 54 30.51,+30 06 09.1
17aaajlfw,11 05 39.78,+25 06 28.0
18aaadcme,11 35 51.07,+53 22 46.2
18aaadclg,11 57 44.85,+48 56 17.9
18aajoejk,12 27 40.85,+51 39 24.7
19aaqhcmn,12 32 25.77,+14 20 41.7
18aambkqd,13 05 14.74,+58 28 56.2
18aalrikz,13 07 53.84,+53 51 30.3
18aautxxk,14 11 18.31,+48 12 57.6
18abfyzmf,14 25 48.07,+15 15 01.2
18aagsgqc,14 57 44.75,+40 43 40.5
18abaulyr,15 34 12.18,+59 48 31.8
18aaisedb,15 51 22.39,+71 45 11.6
18adbahiw,15 56 44.23,-00 09 50.4
18aaomiig,16 00 03.71,+33 11 13.7
18abjzbhm,16 04 19.02,+16 15 48.3
18aauxwft,16 19 35.80,+52 46 31.6
18aabpwzq,16 22 07.16,+19 22 36.5
18abaaewz,16 31 00.23,+69 50 01.2
18aaovjvr,16 52 44.83,+33 39 25.5
18aaiytds,17 27 58.13,+38 00 22.5
18aajtkma,17 30 08.36,+62 47 54.3
18aalafea,17 31 02.22,+34 26 33.1
18aakzxki,17 42 09.17,+23 48 29.4
18abetddh,17 47 14.33,+15 00 47.5
18aajrvst,17 48 16.33,+50 17 22.9
18aaslagi,18 05 46.35,+31 40 17.7
18abbprmq,18 08 44.69,+34 27 23.9
18aamigoo,18 16 13.17,+49 52 05.1
18abdhozj,18 32 11.38,+61 55 06.0
18aakzfjo,18 44 26.67,+37 59 51.9
18aakzafr,18 44 39.18,+43 22 28.0
18aapgtye,18 53 00.76,+45 27 08.2
18abdkpgs,19 14 43.53,+60 52 13.8
18aavetqn,19 18 42.00,+44 49 12.4
18aaptcay,19 19 05.19,+48 15 06.1
18abcccnr,19 22 41.96,+52 43 59.0
18aauefbw,19 27 48.53,+44 47 24.6
18aaptcqq,19 44 19.29,+49 12 57.3
18abmszln,19 48 14.46,+34 52 01.1
18aasncio,19 48 23.31,+36 26 23.0
18aawbluo,19 53 04.93,+21 14 48.8
18abobptn,19 57 18.83,-09 19 21.5
18abjhdua,19 58 37.08,+16 41 28.4
18aawvwks,19 59 52.40,+39 13 59.8
18aavzjuw,20 00 05.22,+22 56 06.0
17aabopqx,20 12 13.66,+42 45 50.9
18aaypnnd,21 08 33.97,+39 05 35.3
18aazsdnv,21 26 24.12,+25 38 26.7
17aaaqgbm,21 34 15.86,+49 11 26.3
17aaawglf,21 44 03.78,+44 39 01.7
18abcsuit,21 47 38.41,+24 45 54.0
18abqdtes,21 54 33.97,+23 54 00.1
17aaaedpn,21 57 16.44,+52 12 00.8
18abcqadc,22 19 10.14,+31 35 22.8
18abigrzf,22 21 44.77,+18 40 07.9
18aaznfkp,22 23 04.66,+52 40 58.2
18abtffxi,22 24 43.46,+50 31 39.1
18abccqjx,22 43 40.73,+30 55 20.0
