"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"185558","AT 2025tfv","18:42:31.185","+17:47:33.22","CV","0","","","ZTF, GOTO","ZTF, GOTO","ePESSTO+","GOTO, ZTF","ZTF25abhfslz","GOTO-N - GOTO-1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.3723","r-ZTF","2025-08-03 08:46:46.001","BTSbot_bot","","","2025TNSTR3087....1R","2025TNSCR3147....1v","",""
"185557","AT 2025tfu","19:14:43.658","+60:52:14.07","CV","","","","LAST","LAST","None","LAST","","LAST - LAST-Cam","Other - Other","1","1","","15.33","Clear-","2025-08-02 18:25:32.736","LAST_Bot1","","","2025TNSTR3083....1O","2025TNSCR3128....1R","",""
"185290","AT 2025swd","22:34:21.589","+11:58:42.32","CV","","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS25irv","ATLAS-STH - ATLAS-03, ATLAS-TDO - ATLAS-05","UH88 - SNIFS","1","1","","17.709","wide-ATLAS","2025-07-31 04:36:15.840","ATLAS_Bot1","","","2025TNSTR3022....1T","2025TNSCR3046....1T","",""
"185200","AT 2025sss","21:38:29.080","+41:46:19.10","CV","0","","","","","Padova-Asiago","","","Other - Other","Galileo - BC-Asi","1","1","","14","Clear-","2025-07-31 13:32:13.115","Ziyang Mai","","","2025TNSTR3007....1M","2025TNSCR3014....1R","",""
"184566","AT 2025rvv","20:48:10.327","-24:21:34.11","CV","0","","","ZTF","ZTF","ePESSTO+","ZTF","ZTF25abcmcmo","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","17.2558","r-ZTF","2025-07-21 07:32:21.998","BTSbot_bot","","","2025TNSTR2837....1R","2025TNSCR3171....1v","",""
"183938","AT 2025qzw","21:06:38.509","+24:54:15.67","CV","0","","","GOTO, LAST","GOTO, LAST","BlackGEM","GOTO, LAST","GOTO25etu","GOTO-N - GOTO-2, GOTO-S - GOTO-3, LAST - LAST-Cam","NOT - ALFOSC","1","1","","17.63","L-GOTO","2025-07-13 00:56:45.888","GOTO_bot","","","2025TNSTR2675....1O","2025TNSCR3115....1T","",""
"182741","AT 2025pgx","18:51:20.910","+16:17:01.50","CV","0","","","XOSS","XOSS","XOSS","XOSS","KATS25M034","Other - Other","Other - Other","1","1","","14.76","Clear-","2025-06-28 19:02:16.800","Mi Zhang","","","2025TNSTR2472....1X","2025TNSCR2502....1Z","",""
"182635","AT 2025pcv","19:06:06.370","+55:34:47.50","CV","0","","","","","None","","","Other - Other","Other - Other","1","1","","15.5","Clear-","2025-06-27 13:44:22.975","Ziyang Mai","","","2025TNSTR2432....1M","2025TNSCR2501....1S","",""
"182219","AT 2025omy","19:33:54.060","+42:20:00.80","CV","0","","","XOSS","XOSS","None","XOSS","KATS25M010","Other - Other","BL41 - FOSC-E5535","1","1","","14.25","Clear-","2025-06-21 16:07:59.808","Mi Zhang","","","2025TNSTR2337....1Z","2025TNSCR2354....1B","",""
"181294","AT 2025neg","12:34:53.520","-48:38:04.60","CV","0","","","MASTER","MASTER","ePESSTO+","MASTER","MASTER OT J123453.52-483804.6","Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","16.1","Other-","2025-06-06 02:31:43.968","MASTER","","","2025TNSTR2154....1T","2025TNSCR2264....1P","",""
"181117","AT 2025mxo","19:40:40.796","+55:44:12.80","CV","0","","","GOTO","GOTO","GOTO","GOTO","GOTO25dht","GOTO-N - GOTO-2","LT - SPRAT","1","1","","17.25","L-GOTO","2025-06-05 01:07:32.160","GOTO_bot","","","2025TNSTR2104....1O","2025TNSCR2184....1P","",""
"180762","AT 2025mka","16:23:14.332","+65:00:36.28","CV","0","","","LAST","LAST","None","LAST","","LAST - LAST-Cam","Other - Other","1","1","","17.52","Clear-","2025-05-28 22:02:32.352","LAST_Bot1","","","2025TNSTR2019....1O","2025TNSCR2185....1S","",""
"180076","AT 2025ljt","16:53:20.693","-08:25:32.30","CV","0","","","ZTF, GOTO, BlackGEM","ZTF, GOTO, BlackGEM","BlackGEM","BlackGEM, GOTO, ZTF","ZTF25aardghz","BG3 - BlackGEM-Cam3, GOTO-N - GOTO-2, GOTO-S - GOTO-4, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","18.7831","r-ZTF","2025-05-22 06:34:49.998","BTSbot_bot","","","2025TNSTR1925....1R","2025TNSCR2126....1M","",""
"180068","AT 2025ljl","22:06:40.834","+04:30:47.37","CV","0","","","GOTO, ATLAS, Pan-STARRS","GOTO, ATLAS, Pan-STARRS","BlackGEM","ATLAS, GOTO, Pan-STARRS","GOTO25cws","ATLAS-CHL - ATLAS-04, GOTO-N - GOTO-1, GOTO-N - GOTO-2, PS1 - GPC1","NOT - ALFOSC","1","1","","18.7","L-GOTO","2025-05-23 04:09:10.656","GOTO_bot","","","2025TNSTR1915....1O","2025TNSCR2126....1M, 2025TNSCR2126....1M","",""
"179787","AT 2025kyq","18:15:15.430","-69:03:25.42","CV","0","","","ATLAS, MASTER, BlackGEM","ATLAS, MASTER, BlackGEM","ePESSTO+","ATLAS, BlackGEM, MASTER","ATLAS25fdz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","17.142","orange-ATLAS","2025-05-17 04:41:36.384","ATLAS_Bot1","","","2025TNSTR1863....1T","2025TNSCR1963....1C","",""
"179772","AT 2025kyb","18:06:08.020","+31:37:48.01","CV","0","","","GOTO, LAST","GOTO, LAST","GOTO","GOTO, LAST","GOTO25ctd","GOTO-N - GOTO-2, LAST - LAST-Cam","LT - SPRAT","1","1","","16.34","L-GOTO","2025-05-18 01:42:10.080","GOTO_bot","","","2025TNSTR1869....1R","2025TNSCR1881....1O","",""
